chemical_id
ZINC00000010
ZINC00000023
ZINC00000053
ZINC00000061
ZINC00000071
ZINC00000075
ZINC00000076
ZINC00000103
ZINC00000138
ZINC00000276
ZINC00000310
ZINC00000323
ZINC00000346
ZINC00000361
ZINC00000365
ZINC00000381
ZINC00000391
ZINC00000393
ZINC00000435
ZINC00000504
ZINC00000523
ZINC00000566
ZINC00000596
ZINC00000627
ZINC00000640
ZINC00000654
ZINC00000681
ZINC00000746
ZINC00000751
ZINC00000802
ZINC00000848
ZINC00000850
ZINC00000853
ZINC00000857
ZINC00000860
ZINC00000870
ZINC00000883
ZINC00000909
ZINC00000915
ZINC00000920
ZINC00000922
ZINC00000931
ZINC00000934
ZINC00000941
ZINC00000999
ZINC00001021
ZINC00001083
ZINC00001084
ZINC00001087
ZINC00001099
ZINC00001131
ZINC00001137
ZINC00001148
ZINC00001160
ZINC00001187
ZINC00001201
ZINC00001219
ZINC00001233
ZINC00001261
ZINC00001267
ZINC00001281
ZINC00001341
ZINC00001382
ZINC00001407
ZINC00001408
ZINC00001409
ZINC00001427
ZINC00001436
ZINC00001457
ZINC00001463
ZINC00001464
ZINC00001504
ZINC00001536
ZINC00001553
ZINC00001554
ZINC00001567
ZINC00001575
ZINC00001582
ZINC00001590
ZINC00001600
ZINC00001601
ZINC00001614
ZINC00001624
ZINC00001630
ZINC00001644
ZINC00001655
ZINC00001669
ZINC00001677
ZINC00001681
ZINC00001723
ZINC00001732
ZINC00001758
ZINC00001763
ZINC00001773
ZINC00001792
ZINC00001795
ZINC00001850
ZINC00001863
ZINC00001910
ZINC00001931
ZINC00001963
ZINC00001965
ZINC00001982
ZINC00001984
ZINC00001995
ZINC00002002
ZINC00002009
ZINC00002028
ZINC00002041
ZINC00002070
ZINC00002101
ZINC00002110
ZINC00002119
ZINC00002131
ZINC00002139
ZINC00002152
ZINC00002191
ZINC00002200
ZINC00002212
ZINC00002216
ZINC00002264
ZINC00002272
ZINC00002275
ZINC00002279
ZINC00002281
ZINC00002284
ZINC00002365
ZINC00002376
ZINC00002433
ZINC00002675
ZINC00002698
ZINC00002748
ZINC00002775
ZINC00002779
ZINC00002845
ZINC00002850
ZINC00003106
ZINC00003189
ZINC00003275
ZINC00003709
ZINC00003711
ZINC00003724
ZINC00003741
ZINC00003742
ZINC00003761
ZINC00003767
ZINC00003803
ZINC00003876
ZINC00003897
ZINC00003911
ZINC00003941
ZINC00003961
ZINC00004009
ZINC00004028
ZINC00004035
ZINC00004041
ZINC00004076
ZINC00004085
ZINC00004090
ZINC00004140
ZINC00004220
ZINC00004227
ZINC00004234
ZINC00004264
ZINC00004285
ZINC00004294
ZINC00004321
ZINC00004333
ZINC00004346
ZINC00004351
ZINC00004382
ZINC00004413
ZINC00004439
ZINC00004448
ZINC00004507
ZINC00004531
ZINC00004620
ZINC00004689
ZINC00004726
ZINC00004739
ZINC00004763
ZINC00004778
ZINC00004779
ZINC00004840
ZINC00004855
ZINC00004888
ZINC00004898
ZINC00004902
ZINC00004949
ZINC00004982
ZINC00005030
ZINC00005099
ZINC00005152
ZINC00005155
ZINC00005191
ZINC00005258
ZINC00005284
ZINC00005359
ZINC00005389
ZINC00005423
ZINC00005452
ZINC00005467
ZINC00005475
ZINC00005543
ZINC00005554
ZINC00005560
ZINC00005569
ZINC00005608
ZINC00005661
ZINC00005691
ZINC00005723
ZINC00005739
ZINC00005803
ZINC00005824
ZINC00005833
ZINC00005852
ZINC00005871
ZINC00005878
ZINC00005882
ZINC00005886
ZINC00005895
ZINC00005898
ZINC00005900
ZINC00005903
ZINC00005910
ZINC00005936
ZINC00005947
ZINC00005986
ZINC00005994
ZINC00006016
ZINC00006097
ZINC00006156
ZINC00006157
ZINC00006164
ZINC00006165
ZINC00006170
ZINC00006213
ZINC00006228
ZINC00006299
ZINC00006302
ZINC00006310
ZINC00006369
ZINC00006427
ZINC00006481
ZINC00006486
ZINC00006559
ZINC00006562
ZINC00006647
ZINC00006651
ZINC00006694
ZINC00006785
ZINC00006787
ZINC00006788
ZINC00006892
