Inchi_Key1,Inchi_Key2,Similarity_Score
ADWVGSJVDLIDEK-GOSISDBHSA-N,ADCDUDFEGFKKQH-OAQYLSRUSA-N,0.67
ADWVGSJVDLIDEK-GOSISDBHSA-N,ADCDUDFEGFKKQH-UHFFFAOYSA-N,0.67
ADXIEHMLHMLUHI-BIHRQFPBSA-N,ABLQBUBJQGDTTI-BGBFCPIGSA-N,0.52
ADXIEHMLHMLUHI-BIHRQFPBSA-N,ACOALOCGULMURP-GKXKVECMSA-N,0.75
ADXKCSSQQQNHHM-IBGZPJMESA-N,AAXZBUMGNKPFPI-QGZVFWFLSA-N,0.55
ADXKROCQFVLHGK-UHFFFAOYSA-N,ACMPKMSXOFRFCC-UHFFFAOYSA-N,0.69
ADYPXRFPBQGGAH-WVVAGBSPSA-N,ADYPXRFPBQGGAH-PCAWATMZSA-N,1
ADYZVNMLQOHYDE-BAYWULLTSA-N,ACURKJUHYADJGJ-LVFSCSRESA-N,0.69
ADZBFIWNYZEDIG-XFULWGLBSA-N,ADZBFIWNYZEDIG-RSAXXLAASA-N,1
AEACXIXTPAQTGN-UHFFFAOYSA-N,ABGBBQLBNIVODC-UHFFFAOYSA-N,0.84
AEALLVSFYNMBHG-SAABIXHNSA-N,AEALLVSFYNMBHG-MAEOIBBWSA-N,1
AEASOOHOAHFNDF-UHFFFAOYSA-N,ACZFBLYRZQNKFS-UHFFFAOYSA-M,0.65
AEBZXRPMFYGLEF-UHFFFAOYSA-N,ACDZNAKMZQTDJF-UHFFFAOYSA-N,0.59
AEDRARUZMOPETM-UHFFFAOYSA-N,ABWSMEOXYWDCIZ-UHFFFAOYSA-N,0.55
AEEXIWXDMCZBGH-UHFFFAOYSA-N,ABZRQOXZIBNTTA-UHFFFAOYSA-N,0.6
AEFMWUUPZRPSMQ-JLHYYAGUSA-N,ACAUQEGNMPUJPW-MDWZMJQESA-N,0.79
AEFRRLXAXLOWAY-UHFFFAOYSA-N,AAEYDFXKGIXSDP-UHFFFAOYSA-N,0.54
AEFRRLXAXLOWAY-UHFFFAOYSA-N,ABCISIOUDAPUAB-UHFFFAOYSA-N,0.58
AEGALWVHTUOTTL-UHFFFAOYSA-N,ABFVBWQMBVYWMV-UHFFFAOYSA-N,0.61
AEGBDHPHKYWPSA-UHOVJUMYSA-N,AEGBDHPHKYWPSA-KMXRQWDNSA-N,1
AEGKYHXHADEAML-GQCTYLIASA-N,ADCBCNBGSDOIIY-VOTSOKGWSA-N,0.65
AEHATJSZWAWZQR-GRGXKFILSA-N,AEHATJSZWAWZQR-AQYVVDRMSA-N,1
AEHOYSAJZSVRLQ-UHFFFAOYSA-N,ABBHPRNOFIXTQU-UHFFFAOYSA-N,0.52
AEIANINERTXEPM-UHFFFAOYSA-N,AADUJBXZMSDOOW-UHFFFAOYSA-N,0.62
AEIGTKUKBWYPFQ-GFCCVEGCSA-N,ADUDQKMQQHYYGO-GFCCVEGCSA-N,0.58
AEIGTKUKBWYPFQ-GFCCVEGCSA-N,ADUDQKMQQHYYGO-LBPRGKRZSA-N,0.58
AEIGTKUKBWYPFQ-GFCCVEGCSA-N,ADUDQKMQQHYYGO-UHFFFAOYSA-N,0.58
AEIGTKUKBWYPFQ-LBPRGKRZSA-N,ADUDQKMQQHYYGO-GFCCVEGCSA-N,0.58
AEIGTKUKBWYPFQ-LBPRGKRZSA-N,ADUDQKMQQHYYGO-LBPRGKRZSA-N,0.58
AEIGTKUKBWYPFQ-LBPRGKRZSA-N,ADUDQKMQQHYYGO-UHFFFAOYSA-N,0.58
AEIGTKUKBWYPFQ-LBPRGKRZSA-N,AEIGTKUKBWYPFQ-GFCCVEGCSA-N,1
AEIGTKUKBWYPFQ-UHFFFAOYSA-N,ADUDQKMQQHYYGO-GFCCVEGCSA-N,0.58
AEIGTKUKBWYPFQ-UHFFFAOYSA-N,ADUDQKMQQHYYGO-LBPRGKRZSA-N,0.58
AEIGTKUKBWYPFQ-UHFFFAOYSA-N,ADUDQKMQQHYYGO-UHFFFAOYSA-N,0.58
AEIGTKUKBWYPFQ-UHFFFAOYSA-N,AEIGTKUKBWYPFQ-GFCCVEGCSA-N,1
AEIGTKUKBWYPFQ-UHFFFAOYSA-N,AEIGTKUKBWYPFQ-LBPRGKRZSA-N,1
AEIPBBCXMJIOKZ-UHFFFAOYSA-N,AALHLJWQEACLLK-UHFFFAOYSA-N,0.75
AEIXJVBMYJIICX-YUMQZZPRSA-N,AEIXJVBMYJIICX-SFYZADRCSA-N,1
AEJOEPSMZCEYJN-HXUWFJFHSA-N,AEJOEPSMZCEYJN-FQEVSTJZSA-N,1
AEJOEPSMZCEYJN-UHFFFAOYSA-N,AEJOEPSMZCEYJN-FQEVSTJZSA-N,1
AEJOEPSMZCEYJN-UHFFFAOYSA-N,AEJOEPSMZCEYJN-HXUWFJFHSA-N,1
AEJWFHDNVYSNLA-UHFFFAOYSA-N,ADPVBVVWMQETHS-UHFFFAOYSA-N,0.53
AEKDHPBYUMXAPF-UHFFFAOYSA-N,AEGZWUNMRWJLOL-UHFFFAOYSA-N,0.6
AEKJLTZHFXMSBO-UHFFFAOYSA-N,ACCKZQCZQKWGCC-UHFFFAOYSA-N,0.6
AEKJPCHGTMQXDQ-UHFFFAOYSA-N,ABKGHWKSGAOXGR-UHFFFAOYSA-N,0.59
AEKZALMFASFTNO-WJOKGBTCSA-N,ADHWTRBZUSJYJU-UHFFFAOYSA-N,0.64
AELCINSCMGFISI-DTWKUNHWSA-N,AELCINSCMGFISI-BDAKNGLRSA-N,1
AELCINSCMGFISI-RKDXNWHRSA-N,AELCINSCMGFISI-BDAKNGLRSA-N,1
AELCINSCMGFISI-RKDXNWHRSA-N,AELCINSCMGFISI-DTWKUNHWSA-N,1
AELCINSCMGFISI-UHFFFAOYSA-N,AELCINSCMGFISI-BDAKNGLRSA-N,1
AELCINSCMGFISI-UHFFFAOYSA-N,AELCINSCMGFISI-DTWKUNHWSA-N,1
AELCINSCMGFISI-UHFFFAOYSA-N,AELCINSCMGFISI-RKDXNWHRSA-N,1
AEMFNILZOJDQLW-QAGGRKNESA-N,ABCDBBYVLBHVSH-JKQORVJESA-N,0.54
AEMIQXVCZRZSRZ-ACCUITESSA-N,ABPFXCIYLKVLDK-UHFFFAOYSA-N,0.51
AENCTNCRKXVXOM-UHFFFAOYSA-N,ABLYXLXBJMBVQN-JOCHJYFZSA-N,0.68
AENNKGPSWPTNCT-ACNARKAVSA-N,ACDSTTDXRYHRGH-IROHOENBSA-N,0.64
AENNKGPSWPTNCT-CAKRBILKSA-N,ACDSTTDXRYHRGH-IROHOENBSA-N,0.64
AENNKGPSWPTNCT-CAKRBILKSA-N,AENNKGPSWPTNCT-ACNARKAVSA-N,1
AENNKGPSWPTNCT-OIJLGNSKSA-N,ACDSTTDXRYHRGH-IROHOENBSA-N,0.64
AENNKGPSWPTNCT-OIJLGNSKSA-N,AENNKGPSWPTNCT-ACNARKAVSA-N,1
AENNKGPSWPTNCT-OIJLGNSKSA-N,AENNKGPSWPTNCT-CAKRBILKSA-N,1
AENNKGPSWPTNCT-RTJMFUJLSA-N,ACDSTTDXRYHRGH-IROHOENBSA-N,0.64
AENNKGPSWPTNCT-RTJMFUJLSA-N,AENNKGPSWPTNCT-ACNARKAVSA-N,1
AENNKGPSWPTNCT-RTJMFUJLSA-N,AENNKGPSWPTNCT-CAKRBILKSA-N,1
AENNKGPSWPTNCT-RTJMFUJLSA-N,AENNKGPSWPTNCT-OIJLGNSKSA-N,1
AEOHIOVCDRWTKU-KDXMTYKHSA-N,AEKLUJNEHYJEKW-QNGWXLTQSA-N,0.85
