Inchi_Key1,Inchi_Key2,Similarity_Score
BMOHLTABKALFMV-UHFFFAOYSA-N,ANXDYLMRCATVOP-UHFFFAOYSA-N,0.58
BMOHLTABKALFMV-UHFFFAOYSA-N,AQFQEYKSALVFDX-UHFFFAOYSA-N,0.64
BMOHLTABKALFMV-UHFFFAOYSA-N,BCWGHIPBCVXSKW-UHFFFAOYSA-N,0.71
BMOHNKISKOAMDM-UHFFFAOYSA-N,APOBSGRZASPDHP-UHFFFAOYSA-N,0.73
BMOOIPUTRDUUMJ-UHFFFAOYSA-N,AFNDEYWFNPXTKJ-UHFFFAOYSA-N,0.54
BMOOIPUTRDUUMJ-UHFFFAOYSA-N,AJNJXBFIRQAVCH-UHFFFAOYSA-N,0.6
BMOOIPUTRDUUMJ-UHFFFAOYSA-N,AQVFWRSBDBVMFI-UHFFFAOYSA-N,0.51
BMOOIPUTRDUUMJ-UHFFFAOYSA-N,BEVPJXUTHBNTLS-UHFFFAOYSA-N,0.53
BMOOIPUTRDUUMJ-UHFFFAOYSA-N,BHNVCIXSNFNBSW-UHFFFAOYSA-N,0.55
BMOOIPUTRDUUMJ-UHFFFAOYSA-N,BKAAQZGABWDEOR-UHFFFAOYSA-N,0.65
BMOQWQYTTPSFIG-HNXNIXLTSA-N,BMOQWQYTTPSFIG-DUHSPSEUSA-N,1
BMPCEVULSYDKKW-UHFFFAOYSA-N,AATAIRNDADQFCI-UHFFFAOYSA-N,0.65
BMPCEVULSYDKKW-UHFFFAOYSA-N,BGKZVMNDCKQCSL-UHFFFAOYSA-N,0.63
BMPCLJPYXFVWKY-ARLHGKGLSA-N,AKNDZTHCJLFZCF-HNNXBMFYSA-N,0.51
BMPCLJPYXFVWKY-ARLHGKGLSA-N,BCWUIVYEXBBRHO-UHFFFAOYSA-N,0.55
BMPGTXGFJHNBIY-UHFFFAOYSA-N,ARPNQDUWOKVMLY-UHFFFAOYSA-N,0.69
BMPGTXGFJHNBIY-UHFFFAOYSA-N,AXHZNKYAUCLFEQ-UHFFFAOYSA-N,0.67
BMPKCLXVJIFQPK-FGZHOGPDSA-N,AXGIPZTZIMFDDP-BVAGGSTKSA-N,0.58
BMPKCLXVJIFQPK-FGZHOGPDSA-N,BBMZSBVXKAUIFI-NHCUHLMSSA-N,0.66
BMPKCLXVJIFQPK-FGZHOGPDSA-N,BDTKEHDYWBVMLD-RTBURBONSA-N,0.82
BMPKCLXVJIFQPK-FGZHOGPDSA-N,BKLPMGFIXKCEOE-DNQXCXABSA-N,0.65
BMPOCDJEXAXXEZ-UHFFFAOYSA-N,BKWQPMUHWJESCV-UHFFFAOYSA-N,0.65
BMPOOCYRLGEDIG-UHFFFAOYSA-N,ABQRRZZEGCBSBT-UHFFFAOYSA-N,0.68
BMPPBAASXPGLJV-UHFFFAOYSA-N,AQUDLJKDUONUMG-UHFFFAOYSA-N,0.5
BMPPBAASXPGLJV-UHFFFAOYSA-N,BCXCWJVLSDITQU-UHFFFAOYSA-N,0.83
BMPPMAOOKQJYIP-WMZOPIPTSA-N,AAUOYPBRKRLEND-GSDHBNRESA-N,0.61
BMPPMAOOKQJYIP-WMZOPIPTSA-N,AGAQXKAFDAOXKW-FSYRHIKOSA-N,0.5
BMPPMAOOKQJYIP-WMZOPIPTSA-N,AGAQXKAFDAOXKW-GLWIQRGKSA-N,0.5
BMPPMAOOKQJYIP-WMZOPIPTSA-N,AHYFYYVVAXRMKB-KRWDZBQOSA-N,0.56
BMPPMAOOKQJYIP-WMZOPIPTSA-N,BIERXFYJHDFLQZ-OSWHCFOWSA-N,0.55
BMPWRPJAGOEYLP-UHFFFAOYSA-N,BLBKQSCECDPYAW-RUZDIDTESA-N,0.8
BMPWRPJAGOEYLP-UHFFFAOYSA-N,BLBKQSCECDPYAW-VWLOTQADSA-N,0.8
BMPYDZSFSPOLKK-UHFFFAOYSA-N,BEYHYOYOCMIKPU-UHFFFAOYSA-N,0.6
BMQBTHWVNBJSPS-NQLNTKRDSA-N,AABDRJHZBVPFLI-KHPPLWFESA-N,0.71
BMQBTHWVNBJSPS-NQLNTKRDSA-N,AAJQYMJRUXQQCP-UHFFFAOYSA-N,0.56
BMQBTHWVNBJSPS-NQLNTKRDSA-N,BAYNNRHMOQPXKX-HZJYTTRNSA-N,0.76
BMQFHNRBXLDKPP-UHFFFAOYSA-N,BFCSQVMVMNEDEY-UHFFFAOYSA-N,0.55
BMQGHJWOPAPENX-SAYLLPIZSA-N,AAMSRIRJJDBNAA-ISIYWYIMSA-N,0.59
BMQGHJWOPAPENX-SAYLLPIZSA-N,ADVMQYYUVBVGSB-OGINWGRTSA-N,0.53
BMQGHJWOPAPENX-SAYLLPIZSA-N,AOFHRGLJDIIBPP-SAYLLPIZSA-N,0.68
BMQGHJWOPAPENX-SAYLLPIZSA-N,ATNGEEUVTIJBQN-QGYSTOEISA-N,0.67
BMQGIPHCTZAMMW-CSSKISATSA-N,ABZWLBYXKLBEFX-UHFFFAOYSA-N,0.66
BMQGIPHCTZAMMW-CSSKISATSA-N,AWXQYTLSBPWDMJ-UHFFFAOYSA-N,0.58
BMQGIPHCTZAMMW-CSSKISATSA-N,AYZQTNVKDVUKMD-UHFFFAOYSA-N,0.58
BMQGIPHCTZAMMW-YHTXFFTCSA-N,ABZWLBYXKLBEFX-UHFFFAOYSA-N,0.66
BMQGIPHCTZAMMW-YHTXFFTCSA-N,AWXQYTLSBPWDMJ-UHFFFAOYSA-N,0.58
BMQGIPHCTZAMMW-YHTXFFTCSA-N,AYZQTNVKDVUKMD-UHFFFAOYSA-N,0.58
BMQGIPHCTZAMMW-YHTXFFTCSA-N,BMQGIPHCTZAMMW-CSSKISATSA-N,1
BMQNRNJEGSOAQO-QILLFSRXSA-N,AEYXIKDIKWBAPI-XUEUYAKLSA-N,0.56
BMQNRNJEGSOAQO-QILLFSRXSA-N,ARPFWVKYXJZULB-DLBZAZTESA-N,0.52
BMQNRNJEGSOAQO-QILLFSRXSA-N,ARPFWVKYXJZULB-IAGOWNOFSA-N,0.52
BMQNRNJEGSOAQO-QILLFSRXSA-N,ARPFWVKYXJZULB-SJORKVTESA-N,0.52
BMQNRNJEGSOAQO-QILLFSRXSA-N,ARPFWVKYXJZULB-UHFFFAOYSA-N,0.52
BMQNRNJEGSOAQO-QILLFSRXSA-N,ASTAUWDTLIZGAM-RBUKOAKNSA-N,0.52
BMQNRNJEGSOAQO-QILLFSRXSA-N,ASTAUWDTLIZGAM-RTBURBONSA-N,0.52
BMQNRNJEGSOAQO-QILLFSRXSA-N,AURBUEBIALGLQY-DOPJRALCSA-N,0.61
BMQNRNJEGSOAQO-QILLFSRXSA-N,BLIHXFNPRDSWKB-IEIRFRATSA-N,0.72
BMQOLTKSGXBCPY-YADHBBJMSA-N,AIHPSRCSQFDKTK-RSXGOPAZSA-N,0.52
BMQOLTKSGXBCPY-YADHBBJMSA-N,AMGBGCLXZDYDOH-YADHBBJMSA-N,0.77
BMQOLTKSGXBCPY-YADHBBJMSA-N,AUOWJTDDNOBEPP-PKTZIBPZSA-N,0.53
BMQOWDFGLUHIPN-LICLKQGHSA-N,AWGSQTPAQJZTOT-ATVHPVEESA-N,0.5
BMRADOMTKGXKQT-KMDXXIMOSA-N,ARACCHZGYNRRSQ-DKLXNKCPSA-N,0.6
BMRADOMTKGXKQT-KMDXXIMOSA-N,BDCWQOMLWHXEAK-UHFFFAOYSA-N,0.55
BMRIOYXEWAKYAY-UHFFFAOYSA-N,AVRPDIOCAAWICH-UHFFFAOYSA-N,0.58
BMRQSKYAPLJFKP-IUCAKERBSA-N,APCWUTMJBRRZIT-DCAQKATOSA-N,0.62
BMRQSKYAPLJFKP-IUCAKERBSA-N,AUIUPLGGDKKRNX-SRVKXCTJSA-N,0.55
BMRWKIYVKWSZAZ-UHFFFAOYSA-N,AUBMHGIYZLILEO-UHFFFAOYSA-N,0.75
BMRYPRODGMJMLQ-UHFFFAOYSA-N,AXEFUXRYGBWMKE-UHFFFAOYSA-N,0.75
BMRYPRODGMJMLQ-UHFFFAOYSA-N,BHHWVKQXKIOMRP-UHFFFAOYSA-N,0.73
BMRYSGGABOUNDU-UHFFFAOYSA-N,AAEIJYARJYLTIS-UHFFFAOYSA-N,0.94
BMSIRAVUGDDUKN-UHFFFAOYSA-N,AJPMQLQIJVLDJP-UHFFFAOYSA-N,0.56
BMSIUYNXHXLUPO-GDNBJRDFSA-N,AYJLYTFBLOMZSM-KPKJPENVSA-N,0.51
BMSJVKMBUPXVQE-HSZRJFAPSA-N,AAVVKVVWHPCJSK-CSOJFCJSSA-N,0.65
BMSJVKMBUPXVQE-HSZRJFAPSA-N,AXMFPMPIDBXVKP-DKVUXROGSA-N,0.58
BMSJVKMBUPXVQE-HSZRJFAPSA-N,BALBRXHVFNIXBS-AREMUKBSSA-N,0.51
BMSJVKMBUPXVQE-HSZRJFAPSA-N,BDQPNCDJZOMCIO-JOCHJYFZSA-N,0.51
BMSJVKMBUPXVQE-HSZRJFAPSA-N,BEJZBMDINMSNEG-FIPDIQNESA-N,0.53
BMSLJPQGUMZLNE-GOSISDBHSA-N,AEJOEPSMZCEYJN-FQEVSTJZSA-N,0.67
BMSLJPQGUMZLNE-GOSISDBHSA-N,AEJOEPSMZCEYJN-HXUWFJFHSA-N,0.67
BMSLJPQGUMZLNE-GOSISDBHSA-N,AEJOEPSMZCEYJN-UHFFFAOYSA-N,0.67
BMSLJPQGUMZLNE-GOSISDBHSA-N,AHJJCDWRBWUNDK-HXUWFJFHSA-N,0.54
BMSLJPQGUMZLNE-GOSISDBHSA-N,AVOVCWHTBKAYRG-CQSZACIVSA-N,0.65
BMSLJPQGUMZLNE-GOSISDBHSA-N,BCDKQQVLNARLAI-UHFFFAOYSA-N,0.61
BMSLJPQGUMZLNE-GOSISDBHSA-N,BHKMFILYWFYRAV-UHFFFAOYSA-N,0.62
BMSLJPQGUMZLNE-GOSISDBHSA-N,BJHZCCULJAFEHN-LJQANCHMSA-N,0.51
BMSWYXABHIZRDE-UHFFFAOYSA-N,ABMVPPVIAHIGQO-UHFFFAOYSA-N,0.66
BMSWYXABHIZRDE-UHFFFAOYSA-N,ANPFSBYUHWCSQO-UHFFFAOYSA-N,0.73
BMSYYYVQJGFDHW-HSZRJFAPSA-N,ACZLAVUSXSLQRQ-OAQYLSRUSA-N,0.66
BMSYYYVQJGFDHW-HSZRJFAPSA-N,AGULTCXGHPKMCC-OAHLLOKOSA-N,0.62
BMSYYYVQJGFDHW-HSZRJFAPSA-N,ASCVQXWPIHGQIB-RUZDIDTESA-N,0.68
BMTKUMNAVZOJQX-UHFFFAOYSA-N,AXDSJPSPYMTGDH-UHFFFAOYSA-N,0.52
BMTMPFRLYSCFFW-NDEPHWFRSA-N,AGTQKMKCEYTVNM-DEOSSOPVSA-N,0.65
BMTMPFRLYSCFFW-NDEPHWFRSA-N,ALLHEJMQIBVNHN-PMERELPUSA-N,0.79
BMTMPFRLYSCFFW-NDEPHWFRSA-N,ARMSCLSZFVRRFC-VWLOTQADSA-N,0.65
BMTMPFRLYSCFFW-NDEPHWFRSA-N,AUYPTSZHJCUGSJ-SANMLTNESA-N,0.71
BMTMPFRLYSCFFW-NDEPHWFRSA-N,AXDIPPOKVUZQIS-GITCGBDTSA-N,0.62
BMTMPFRLYSCFFW-NDEPHWFRSA-N,AXDLCTBYPALFAX-DEOSSOPVSA-N,0.64
BMTMPFRLYSCFFW-NDEPHWFRSA-N,BBCGEWDMWBJDLG-MHZLTWQESA-N,0.64
BMTMPFRLYSCFFW-NDEPHWFRSA-N,BETOWLYEFWQDAS-FQEVSTJZSA-N,0.58
BMTMPFRLYSCFFW-NDEPHWFRSA-N,BGTOGBOAGNUQCF-QHCPKHFHSA-N,0.6
BMTMPFRLYSCFFW-NDEPHWFRSA-N,BHRRQKCXMMILKK-NRFANRHFSA-N,0.64
BMTMPFRLYSCFFW-NDEPHWFRSA-N,BIMYKYJNZDMNIX-QHCPKHFHSA-N,0.64
BMTMPFRLYSCFFW-NDEPHWFRSA-N,BKMXMTVDPMXZJQ-SANMLTNESA-N,0.71
BMTQBVWFOFKLIN-UHFFFAOYSA-N,ABGNIXWIACKXBO-UHFFFAOYSA-N,0.76
BMTQBVWFOFKLIN-UHFFFAOYSA-N,ACFKWUPSKYZQTM-UHFFFAOYSA-N,0.54
BMTQLDWISLCQTB-UHFFFAOYSA-N,ATVRASTXXITQAM-UHFFFAOYSA-N,0.53
BMTTUHNUPKSNHI-NBNOIDAGSA-N,BMTTUHNUPKSNHI-FQTOXTOYSA-N,1
BMTTUHNUPKSNHI-XCTRBCSVSA-N,BMTTUHNUPKSNHI-FQTOXTOYSA-N,1
BMTTUHNUPKSNHI-XCTRBCSVSA-N,BMTTUHNUPKSNHI-NBNOIDAGSA-N,1
BMUACLADCKCNKZ-UHFFFAOYSA-N,AZFVZMKCOBJRAW-UHFFFAOYSA-N,0.66
BMUGJYGPSTUENR-GGEMFYQQSA-N,BJLJIOLMRXSKSB-KKDWNFAQSA-N,0.72
BMUGJYGPSTUENR-IWPBWAMJSA-N,BJLJIOLMRXSKSB-KKDWNFAQSA-N,0.72
BMUGJYGPSTUENR-IWPBWAMJSA-N,BMUGJYGPSTUENR-GGEMFYQQSA-N,1
BMUHTLJPRVHGBY-OAQYLSRUSA-N,BBWASBWDVJQKBD-RUZDIDTESA-N,0.57
BMUHTLJPRVHGBY-OAQYLSRUSA-N,BFTBSLQNTXGFQQ-AREMUKBSSA-N,0.59
BMUMCRYBYZIAPC-UHFFFAOYSA-N,AYQUNDNINQTAOK-UHFFFAOYSA-N,0.65
BMUOJMSJMKSDQT-HNNXBMFYSA-N,AAOJAMJIDLDOCS-LBPRGKRZSA-N,0.51
BMUOJMSJMKSDQT-HNNXBMFYSA-N,AZYDQCGCBQYFSE-GFCCVEGCSA-N,0.51
BMUOJMSJMKSDQT-HNNXBMFYSA-N,AZYDQCGCBQYFSE-LBPRGKRZSA-N,0.51
BMUOJMSJMKSDQT-HNNXBMFYSA-N,AZYDQCGCBQYFSE-UHFFFAOYSA-N,0.51
BMUOJMSJMKSDQT-HNNXBMFYSA-N,BDZXBWOFMCKTQQ-LBPRGKRZSA-N,0.5
BMUOJMSJMKSDQT-HNNXBMFYSA-N,BEIGLEPJTIPDQW-INIZCTEOSA-N,0.53
BMUPWLZEOZICMG-UHFFFAOYSA-N,AIOWACZADLHDLR-UHFFFAOYSA-N,0.64
BMUPWLZEOZICMG-UHFFFAOYSA-N,ATMPVQBQLBUPIT-UHFFFAOYSA-N,0.75
BMUXKYSNQPRTNH-UHFFFAOYSA-N,BDBCAAMLGLZIMS-UHFFFAOYSA-N,0.62
BMUXKYSNQPRTNH-UHFFFAOYSA-N,BGESTPVDRGBJFB-UHFFFAOYSA-N,0.62
BMUZQPIUADMFQB-UHFFFAOYSA-N,AMRURXXIOGUNSH-UHFFFAOYSA-N,0.57
BMVCVCAQOQNEAB-UHFFFAOYSA-N,AKJKYYDGUADZBI-UHFFFAOYSA-N,0.53
BMVCVCAQOQNEAB-UHFFFAOYSA-N,ASFRYMKNZGDSTP-UHFFFAOYSA-N,0.91
BMVCVCAQOQNEAB-UHFFFAOYSA-N,AWOXPJKLDJGFMS-UHFFFAOYSA-N,0.51
BMVCVCAQOQNEAB-UHFFFAOYSA-N,BAZLTFGQIJMEDL-UHFFFAOYSA-N,0.62
BMVCYZASRBQFAY-UHFFFAOYSA-N,ABOHKJIFAQARLX-UHFFFAOYSA-N,0.74
BMVCYZASRBQFAY-UHFFFAOYSA-N,AXBDECUZZDILLT-UHFFFAOYSA-N,0.74
BMVCYZASRBQFAY-UHFFFAOYSA-N,BMKAFHMHQCRGOR-UHFFFAOYSA-N,0.58
BMVFPFBLMWTPAM-UHFFFAOYSA-N,ASQQSYXQQGXDBY-UHFFFAOYSA-N,0.8
BMVFRDWYIBSEOB-UHFFFAOYSA-N,ADDMFZVXYOSSRB-UHFFFAOYSA-N,0.59
BMVFRDWYIBSEOB-UHFFFAOYSA-N,AHQVZQVSHSOLDM-UHFFFAOYSA-N,0.5
BMVFRDWYIBSEOB-UHFFFAOYSA-N,AIWJVLQNYNCDSL-UHFFFAOYSA-N,0.6
BMVFRDWYIBSEOB-UHFFFAOYSA-N,APAVJWIMYUTAQK-UHFFFAOYSA-N,0.66
BMVFRDWYIBSEOB-UHFFFAOYSA-N,APMUVXPIJNPXQE-UHFFFAOYSA-N,0.58
BMVFRDWYIBSEOB-UHFFFAOYSA-N,BIAGWLDERXRFAW-UHFFFAOYSA-N,0.58
BMVGAMJQIUZPTQ-UHFFFAOYSA-N,ASWKCKDDNLWVOJ-UHFFFAOYSA-N,0.55
BMVJFNLJSZHNNS-BVPXTQGSSA-N,BITFKDUCQOBZDL-KZSDYASMSA-N,0.65
BMVMKTNMDRHJOF-UHFFFAOYSA-N,AYEXMZPITINLCA-UHFFFAOYSA-N,0.53
BMVNXVOOGMJYGA-UHFFFAOYSA-N,BJQZBEBYCJULNI-UHFFFAOYSA-N,0.63
BMVUXKYOODZALF-GNISGLHKSA-N,ABIUFIYFFWDIDH-DXRVJIQQSA-N,0.64
BMVUXKYOODZALF-GNISGLHKSA-N,ABIUFIYFFWDIDH-IENJSVCTSA-N,0.64
BMVUXKYOODZALF-GNISGLHKSA-N,ABIUFIYFFWDIDH-VAWYXSNFSA-N,0.64
BMVUXKYOODZALF-GNISGLHKSA-N,ACVQEBXNNLXAGR-WOOPDLCSSA-N,0.85
BMVVDRAHYJJNBI-UHFFFAOYSA-N,ACOJPXLWKMOTHB-UHFFFAOYSA-N,0.52
BMVVLXNEZZJMOQ-UHFFFAOYSA-N,BEEYODCPXLNCSL-UHFFFAOYSA-N,0.53
BMVXFNWVJGLCMQ-UHFFFAOYSA-N,AGMDTTZXAPEAGG-UHFFFAOYSA-N,0.65
BMVYIGADXJJKEG-UKMLZYKCSA-N,AJOZKVQUUGUUPJ-CEXWTWQISA-N,0.7
BMVYIGADXJJKEG-UKMLZYKCSA-N,BFHSOUBSVBDGEA-GHYVTOPFSA-N,0.58
BMVYMSPEXMCDSP-UHFFFAOYSA-N,BFCLPURLRKZMCC-UHFFFAOYSA-N,0.5
BMVZJARKWWUXIS-UHFFFAOYSA-N,AYICMXMKRHOVKC-UHFFFAOYSA-N,0.63
BMVZQYRVHRLKTR-UHFFFAOYSA-N,AFEOXYGIEXXWKX-NRFANRHFSA-N,0.72
BMVZQYRVHRLKTR-UHFFFAOYSA-N,AFEOXYGIEXXWKX-OAQYLSRUSA-N,0.72
BMWADFFCBMWUAQ-XSAAWUBDSA-N,AKUZHFVMXLJONR-PTTASYIOSA-N,0.55
BMWDQBTXNBGORC-UHFFFAOYSA-N,ABPSWEJOHYDZDP-UHFFFAOYSA-N,0.62
BMWFXJOQYUAESO-UHFFFAOYSA-N,AHPITNKHMUCYLX-UHFFFAOYSA-N,0.58
BMWFXJOQYUAESO-UHFFFAOYSA-N,ALNBEEWFQUYNMP-UHFFFAOYSA-N,0.77
BMWFXJOQYUAESO-UHFFFAOYSA-N,ASQKCXTVHBOYJJ-UHFFFAOYSA-N,0.75
BMWFXJOQYUAESO-UHFFFAOYSA-N,AWSWGFLZVRYNMI-UHFFFAOYSA-N,0.77
BMWFXJOQYUAESO-UHFFFAOYSA-N,AXJYGGLVVOCLNI-UHFFFAOYSA-N,0.68
BMWQPEVACLMQMF-UHFFFAOYSA-N,ANUHLKPVOXDYSK-UHFFFAOYSA-N,0.55
BMWQPEVACLMQMF-UHFFFAOYSA-N,AQGAWUCGCDILPG-UHFFFAOYSA-N,0.59
BMWUIIPULBWCPO-UHFFFAOYSA-N,AUKNZSATOILHNI-UHFFFAOYSA-N,0.58
BMWWHHBDXGBVBK-WOJBJXKFSA-N,AYVCGIORGGQZLM-HLPCWDLKSA-N,1
BMWWHHBDXGBVBK-WOJBJXKFSA-N,AZEUFZHXUKCFHE-YAFWASLJSA-N,0.78
BMXBRFOOCBUQMA-LPHOPBHVSA-N,AMILULTTYUWGOV-OALUTQOASA-N,0.63
BMXBRFOOCBUQMA-LPHOPBHVSA-N,APAWGWWWJOBFNB-PXNSSMCTSA-N,0.73
BMXBRFOOCBUQMA-LPHOPBHVSA-N,ARWOQKSGCIDNNZ-RDJZCZTQSA-N,0.51
BMXBRFOOCBUQMA-LPHOPBHVSA-N,AVIMZQODWSMXOY-SFTDATJTSA-N,0.51
BMXBRFOOCBUQMA-LPHOPBHVSA-N,BDHDPZBZVBHTFL-IRXDYDNUSA-N,0.52
BMXBRFOOCBUQMA-LPHOPBHVSA-N,BHIUICRGVPSMPQ-OALUTQOASA-N,0.51
BMXDSXPQVASKNI-UHFFFAOYSA-N,BHUJWKLXOJFZOZ-UHFFFAOYSA-N,0.51
BMXDSXPQVASKNI-UHFFFAOYSA-N,BJYDJXHEOGYQLF-UHFFFAOYSA-N,0.55
BMXNKFLJEJXKQP-UHFFFAOYSA-N,AKDJMBHEZXZXTL-UHFFFAOYSA-N,0.51
BMXNKFLJEJXKQP-UHFFFAOYSA-N,AZICAVITRTWLBZ-UHFFFAOYSA-N,0.79
BMXPGYUFWDJCDC-UHFFFAOYSA-N,AGSYKJIWHRFWAL-UHFFFAOYSA-N,0.71
BMXPGYUFWDJCDC-UHFFFAOYSA-N,AZVOQBVEWXMNPO-UHFFFAOYSA-N,0.76
BMXPGYUFWDJCDC-UHFFFAOYSA-N,BABKJKPOVFNQHK-GFCCVEGCSA-N,0.63
BMXPGYUFWDJCDC-UHFFFAOYSA-N,BABKJKPOVFNQHK-LBPRGKRZSA-N,0.63
BMXSWYGUOPGMDD-UHFFFAOYSA-N,AYIMABIWTVIPOD-UHFFFAOYSA-N,0.61
BMXUFHORTLVLCV-UHFFFAOYSA-N,AZUDKTWLENPMEO-UHFFFAOYSA-N,0.6
BMXZJFBFLGXCCY-UHFFFAOYSA-N,ADRCRSPDCZNNQH-FQEVSTJZSA-N,0.64
BMXZJFBFLGXCCY-UHFFFAOYSA-N,ADRCRSPDCZNNQH-UHFFFAOYSA-N,0.64
BMXZJFBFLGXCCY-UHFFFAOYSA-N,ASVLYALZPZGNFP-UHFFFAOYSA-N,0.51
BMXZJFBFLGXCCY-UHFFFAOYSA-N,BEDCPQWYYPUQGP-IBGZPJMESA-N,0.63
BMYBPXJXNNXUJF-UHFFFAOYSA-N,BFCDQACTJVOXQQ-UHFFFAOYSA-N,0.52
BMYBPXJXNNXUJF-UHFFFAOYSA-N,BIUVCZQWTOSTRS-UHFFFAOYSA-N,0.51
BMYBPXJXNNXUJF-UHFFFAOYSA-N,BLWDOLCMBQDSMT-UHFFFAOYSA-N,0.58
BMYOQJPJJPXZBN-UHFFFAOYSA-N,BFCDQACTJVOXQQ-UHFFFAOYSA-N,0.76
BMYOQJPJJPXZBN-UHFFFAOYSA-N,BMYBPXJXNNXUJF-UHFFFAOYSA-N,0.57
BMYPYGNBHKAZIB-UHFFFAOYSA-N,AIVRYRUTCDXZNB-UHFFFAOYSA-N,0.73
BMYPYGNBHKAZIB-UHFFFAOYSA-N,BAYDLRQIJDJZJS-UHFFFAOYSA-N,0.77
BMYPYGNBHKAZIB-UHFFFAOYSA-N,BBJVIVDHNWVMFY-UHFFFAOYSA-N,0.66
BMYPYGNBHKAZIB-UHFFFAOYSA-N,BDKALHLZUBHZCK-UHFFFAOYSA-N,0.72
BMYPYGNBHKAZIB-UHFFFAOYSA-N,BJFDIYJUPKROCP-UHFFFAOYSA-N,0.68
BMYUTWKKELIBCE-UHFFFAOYSA-N,ACLPOFUIYHXBHE-UHFFFAOYSA-N,0.8
BMYUTWKKELIBCE-UHFFFAOYSA-N,AGPDHYVMIWYSBH-UHFFFAOYSA-N,0.55
BMZDEKBMWVAMGY-UHFFFAOYSA-M,AFFJQKZZLXQHSD-UHFFFAOYSA-M,0.6
BMZDEKBMWVAMGY-UHFFFAOYSA-M,AOAHJSSHFAPQHH-UHFFFAOYSA-N,0.53
BMZDEKBMWVAMGY-UHFFFAOYSA-M,APUCCVGQZPNXIO-RYWNGCACSA-N,0.51
BMZDEKBMWVAMGY-UHFFFAOYSA-M,APUCCVGQZPNXIO-UCRKPPETSA-N,0.51
BMZDEKBMWVAMGY-UHFFFAOYSA-M,APUCCVGQZPNXIO-UHFFFAOYSA-N,0.51
BMZDEKBMWVAMGY-UHFFFAOYSA-M,ASZKTDCAKZHWMI-UHFFFAOYSA-M,0.66
BMZDEKBMWVAMGY-UHFFFAOYSA-M,AUIAJWWGMMZPSD-UHFFFAOYSA-M,0.63
BMZMDXKVONWOAH-ROUUACIJSA-N,BEWXRIREORMMSI-HOTGVXAUSA-N,0.52
BMZNHLXBTNBSCH-UHFFFAOYSA-N,APUTYMNCRFBYNJ-UHFFFAOYSA-N,0.75
BMZNHLXBTNBSCH-UHFFFAOYSA-N,BGTAGOPNOZXAMC-UHFFFAOYSA-N,0.52
BMZVUCHNAOGFOV-UHFFFAOYSA-N,AEWVQURONHNXMU-UHFFFAOYSA-N,0.7
BMZVUMSBUURNOU-NRFANRHFSA-N,AHNFQQHGOJRCIY-IBGZPJMESA-N,0.78
BMZWCKKORAOHAV-UHFFFAOYSA-N,AIDJWZIOMBFHID-UHFFFAOYSA-N,0.51
BMZWSVOHQGIQQC-UHFFFAOYSA-N,ARNYNONKOHEEHV-UHFFFAOYSA-N,0.53
BMZWSVOHQGIQQC-UHFFFAOYSA-N,AZEXWHKOMMASPA-UHFFFAOYSA-N,0.72
BNADYDXRVAQUEP-UHFFFAOYSA-N,AGHVKOYOAZXYOP-UHFFFAOYSA-N,0.8
BNAFFKOTSISKMR-UHFFFAOYSA-N,ABNJTLJOBGFVGE-UHFFFAOYSA-N,0.52
BNAFFKOTSISKMR-UHFFFAOYSA-N,AYWJSJSELYMYNB-UHFFFAOYSA-N,0.54
BNAFFKOTSISKMR-UHFFFAOYSA-N,BGPOQKXCTILWFE-UHFFFAOYSA-N,0.51
BNAFFKOTSISKMR-UHFFFAOYSA-N,BKPDBOFXHPBMFZ-UHFFFAOYSA-N,0.83
BNAKCEFXXMHXDQ-OAQYLSRUSA-N,AEJOEPSMZCEYJN-FQEVSTJZSA-N,0.75
BNAKCEFXXMHXDQ-OAQYLSRUSA-N,AEJOEPSMZCEYJN-HXUWFJFHSA-N,0.75
BNAKCEFXXMHXDQ-OAQYLSRUSA-N,AEJOEPSMZCEYJN-UHFFFAOYSA-N,0.75
BNAKCEFXXMHXDQ-OAQYLSRUSA-N,AHJJCDWRBWUNDK-HXUWFJFHSA-N,0.62
BNAKCEFXXMHXDQ-OAQYLSRUSA-N,AQNKJLVANZELEX-OAQYLSRUSA-N,0.78
BNAKCEFXXMHXDQ-OAQYLSRUSA-N,BCDKQQVLNARLAI-UHFFFAOYSA-N,0.72
BNAKCEFXXMHXDQ-OAQYLSRUSA-N,BHKMFILYWFYRAV-UHFFFAOYSA-N,0.65
BNAKCEFXXMHXDQ-OAQYLSRUSA-N,BMSLJPQGUMZLNE-GOSISDBHSA-N,0.56
BNAMIKLVABDKBQ-LLVKDONJSA-N,AUCOHJQQGOKUDK-UHFFFAOYSA-N,0.52
BNAMIKLVABDKBQ-LLVKDONJSA-N,AYHGRZQBIQTSPR-QGZVFWFLSA-N,0.5
BNAMIKLVABDKBQ-LLVKDONJSA-N,BCAXRNPJOMIUFG-QGZVFWFLSA-N,0.56
BNAOJKWCVCVLDL-QGOAFFKASA-N,BFTLDZSDIDHRER-WOJGMQOQSA-N,0.71
BNARFTPGNAZUGB-UHFFFAOYSA-N,ALIHBSWIQNXFFZ-UHFFFAOYSA-N,0.83
BNARYZLHRCJGBY-OAHLLOKOSA-N,BHZNGMOMDQDTGT-HNNXBMFYSA-N,0.53
