"ChemicalID";"Inchi_Key";"Canonical_Smiles";FDA_Approved
"SCHEMBL4354315";"AACNTOLCQZSBRY-UHFFFAOYSA-N";"Cc1cc(ccc1Oc2ccccc2)c3nc(C4CCC4)n5ccnc(N)c35";0
"1-((2-Nitrophenyl)sulfonyl)piperidine";"AACRWZVDRSTLKY-UHFFFAOYSA-N";"[O-][N+](=O)c1ccccc1S(=O)(=O)N2CCCCC2";0
"CHEMBL3262167";"AACVZUDANADSGF-UHFFFAOYSA-N";"Cl.COc1ccc(NC(=O)N2CCNCC2COc3cccnc3)c(OC)c1";0
"CHEMBL2172180";"AACWQSNBYLQWIF-UHFFFAOYSA-N";"Cc1n[nH]c(C(=O)O)c1CCc2ccc(cc2)c3ccc(F)cc3";0
"Pyrimidin-4-ylacetamide, 26";"AACWUFIIMOHGSO-UHFFFAOYSA-N";"CN(C)CCC(=O)Nc1cc(nc(n1)c2oc(C)cc2)n3nc(C)cc3C";0
"CHEMBL504861";"AACZCKZTUMTPKO-UHFFFAOYSA-N";"CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3F)C(=O)N4CCN(CC4)c5cc(C(=O)O)c6ccccc6c5";0
"CHEMBL2312045";"AADBLBDNKSDEHY-UHFFFAOYSA-N";"CC(C)(C)c1ccc(OC(=O)N2CCc3c(C2)[nH]c4ccc(O)cc34)cc1";0
"CHEMBL338434";"AADDKLKFCNPPIE-UHFFFAOYSA-N";"CCCCC(=O)Nc1ccc(c(c1)N2N=C(CCCC)N(Cc3ccc(cc3F)c4ccccc4S(=O)(=O)NC(=O)OC(C)(C)C)C2=O)C(F)(F)F";0
"CHEMBL522492";"AADDTKRBTBKAOH-UHFFFAOYSA-N";"COc1ccc(cc1)C2=Nc3ccc(NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F)nc3N(CCNC(=O)C)C2=O";0
"CHEMBL1778127";"AADDZOJHWIKRHN-UHFFFAOYSA-N";"CN(Cc1ccccc1)c2nnnn2c3cccc(Cl)c3Cl";0
"MLS000716936";"AADHNFIRCRYOGZ-UHFFFAOYSA-N";"COc1ccc(C2=NN(c3nc(cs3)C(=O)O)C(O)(C2)C(F)(F)F)c(OC)c1";0
"CHEMBL563152";"AADISMNEXUCPMN-UHFFFAOYSA-N";"Cc1ccc(nc1)c2ccc(Cl)c(c2)C(=O)NCC3(O)CCCC(C)(C)C3";0
"CHEMBL2011480";"AADKPDGTJHDJAJ-KRWDZBQOSA-N";"O=C(Cc1ccc(Cc2ccccc2)cc1)OC[C@@H]3CO3";0
