Gene_name
2A5A_HUMAN
2AAA_MOUSE
2ABG_HUMAN
2B11_HUMAN
3BHS1_HUMAN
3BHS2_HUMAN
3BHS2_RAT
3BHS5_RAT
3BHS7_HUMAN
3BHS_MYCTU
5HT1A_HUMAN
5HT1A_MOUSE
5HT1A_RAT
5HT1B_HUMAN
5HT1B_RAT
5HT1D_HUMAN
5HT1D_MOUSE
5HT1D_PIG
5HT1D_RAT
5HT1E_HUMAN
5HT1F_HUMAN
5HT1F_RAT
5HT2A_BOVIN
5HT2A_CANFA
5HT2A_HUMAN
5HT2A_MOUSE
5HT2A_PIG
5HT2A_RAT
5HT2B_HUMAN
5HT2B_MOUSE
5HT2B_RAT
5HT2C_HUMAN
5HT2C_MOUSE
5HT2C_RAT
5HT3A_CAVPO
5HT3A_HUMAN
5HT3A_MOUSE
5HT3A_RAT
5HT3B_HUMAN
5HT3B_MOUSE
5HT3B_RAT
5HT3C_HUMAN
5HT3D_HUMAN
5HT3E_HUMAN
5HT4R_CAVPO
5HT4R_HUMAN
5HT4R_MOUSE
5HT4R_RAT
5HT5A_HUMAN
5HT5A_MOUSE
5HT5A_RAT
5HT5B_RAT
5HT6R_HUMAN
5HT6R_RAT
5HT7R_HUMAN
5HT7R_MOUSE
5HT7R_RAT
5NTD_RAT
6PGD_HUMAN
6PGD_SHEEP
A0MJA4_CANFA
A0MJA5_MACMU
A0ZX81_KLEPN
A1E3K9_ECOLX
A1Z199_HUMAN
A1ZA98_DROME
A2AIR5_MOUSE
A2AMW3_MOUSE
A2RP81_CITFR
A3EZI9_9HEPC
A3RLP8_CHV1
A4KCT8_9ENTR
A4ZYU9_ECOLX
A4_HUMAN
A5A4K8_RABIT
A5Z252_9INFA
A6BR99_YERPE
A7L861_PIG
A85C_MYCTU
A8K327_HUMAN
A8RR46_BACCS
AA1R_BOVIN
AA1R_CHICK
AA1R_HUMAN
AA1R_MOUSE
AA1R_RAT
AA2AR_CAVPO
AA2AR_HUMAN
AA2AR_MOUSE
AA2AR_RAT
AA2BR_HUMAN
AA2BR_MOUSE
AA2BR_RAT
AA3R_BOVIN
AA3R_HUMAN
AA3R_MOUSE
AA3R_RAT
AADAT_RAT
AAK1_HUMAN
AAKB1_HUMAN
AAKG1_HUMAN
AAPK1_HUMAN
AAPK1_RAT
AAPK2_HUMAN
AAPK2_RAT
ABAH3_ARATH
ABCC8_HUMAN
ABCC9_HUMAN
ABCC9_RAT
ABCG2_HUMAN
ABD12_HUMAN
ABHD6_MOUSE
ABHGA_HUMAN
ABL1_HUMAN
ABL1_MOUSE
ABL2_HUMAN
ABL2_MOUSE
ABL_MLVAB
ABP1_HUMAN
ABP1_RAT
ACACA_HUMAN
ACACA_RAT
ACACB_HUMAN
ACCN2_HUMAN
ACCN3_HUMAN
ACCN3_RAT
ACE2_HUMAN
ACE2_RAT
ACEA_CANAX
ACEA_MYCTU
ACES_BOVIN
ACES_ELEEL
ACES_HUMAN
ACES_MOUSE
ACES_RAT
ACES_TORCA
